target,condition,candidates,ties,excluded
C02-T022,time,256,0,0
C02-T023,time,256,0,0
C02-T024,time,256,0,0
C02-T025,time,256,0,0
C02-T026,time,256,0,0
C02-T027,time,256,0,0
C02-T028,time,256,0,0
C02-T029,time,256,0,0
C02-T030,time,256,0,0
C02-T031,time,256,0,0
C04-T000,time,256,0,0
C04-T001,time,256,0,0
C04-T002,time,256,0,0
C04-T003,time,256,0,0
C04-T004,time,256,0,0
C04-T005,time,256,0,0
C04-T006,time,256,0,0
C04-T007,time,256,0,0
C04-T008,time,256,0,0
C04-T009,time,256,0,0
C04-T010,time,256,0,0
C04-T011,time,256,0,0
C04-T012,time,256,0,0
C04-T013,time,256,0,0
C04-T014,time,256,0,0
C04-T015,time,256,0,0
C04-T016,time,256,0,0
C04-T017,time,256,0,0
C04-T018,time,256,0,0
C04-T019,time,256,0,0
C04-T020,time,256,0,0
C04-T021,time,256,0,0
C04-T022,time,256,0,0
C04-T023,time,256,0,0
C04-T024,time,256,0,0
C04-T025,time,256,0,0
C04-T026,time,256,0,0
C04-T027,time,256,0,0
C04-T028,time,256,0,0
C04-T029,time,256,0,0
C04-T030,time,256,0,0
C04-T031,time,256,0,0
